"date","month","type","total_in_tons"
"2019-07-31T00:00:00.000","July","Misc. Recycling","10"
"2019-07-31T00:00:00.000","July","Misc. Garbage","1294"
"2019-07-31T00:00:00.000","July","Curb Garbage","8620"
"2019-07-31T00:00:00.000","July","E-Waste","24"
"2019-07-31T00:00:00.000","July","Haz Waste","0"
"2019-07-31T00:00:00.000","July","Yard Waste","0"
"2019-07-31T00:00:00.000","July","Recycled Tires","37"
"2019-07-31T00:00:00.000","July","Scrap Metal","332"
"2019-07-31T00:00:00.000","July","Bottle Bill","317"
"2019-07-31T00:00:00.000","July","Curb Recycling","1479"
"2019-06-30T00:00:00.000","June","Curb Recycling","1379"
"2019-06-30T00:00:00.000","June","Misc. Garbage","2379"
"2019-06-30T00:00:00.000","June","Curb Garbage","8104"
"2019-06-30T00:00:00.000","June","E-Waste","45"
"2019-06-30T00:00:00.000","June","Haz Waste","0"
"2019-06-30T00:00:00.000","June","Yard Waste","129"
"2019-06-30T00:00:00.000","June","Recycled Tires","17"
"2019-06-30T00:00:00.000","June","Scrap Metal","332"
"2019-06-30T00:00:00.000","June","Bottle Bill","317"
"2019-06-30T00:00:00.000","June","Misc. Recycling","10"
"2019-05-30T00:00:00.000","May","Curb Recycling","1566"
"2019-05-30T00:00:00.000","May","Misc. Garbage","3573"
"2019-05-30T00:00:00.000","May","Curb Garbage","9001"
"2019-05-30T00:00:00.000","May","E-Waste","37"
"2019-05-30T00:00:00.000","May","Haz Waste","0"
"2019-05-30T00:00:00.000","May","Yard Waste","987"
"2019-05-30T00:00:00.000","May","Recycled Tires","42"
"2019-05-30T00:00:00.000","May","Scrap Metal","332"
"2019-05-30T00:00:00.000","May","Bottle Bill","317"
"2019-05-30T00:00:00.000","May","Misc. Recycling","10"
"2019-04-30T00:00:00.000","April","Misc. Recycling","10"
"2019-04-30T00:00:00.000","April","Misc. Garbage","2560"
"2019-04-30T00:00:00.000","April","Curb Garbage","7769"
"2019-04-30T00:00:00.000","April","E-Waste","33"
"2019-04-30T00:00:00.000","April","Haz Waste","0"
"2019-04-30T00:00:00.000","April","Yard Waste","675"
"2019-04-30T00:00:00.000","April","Recycled Tires","49"
"2019-04-30T00:00:00.000","April","Scrap Metal","332"
"2019-04-30T00:00:00.000","April","Bottle Bill","317"
"2019-04-30T00:00:00.000","April","Curb Recycling","1399"
"2019-03-31T00:00:00.000","March","Misc. Recycling","10"
"2019-03-31T00:00:00.000","March","Misc. Garbage","652"
"2019-03-31T00:00:00.000","March","Curb Garbage","6657"
"2019-03-31T00:00:00.000","March","E-Waste","24"
"2019-03-31T00:00:00.000","March","Haz Waste","0"
"2019-03-31T00:00:00.000","March","Yard Waste","175"
"2019-03-31T00:00:00.000","March","Recycled Tires","23"
"2019-03-31T00:00:00.000","March","Scrap Metal","332"
"2019-03-31T00:00:00.000","March","Bottle Bill","317"
"2019-03-31T00:00:00.000","March","Curb Recycling","1385"
"2019-02-28T00:00:00.000","February","Misc. Recycling","10"
"2019-02-28T00:00:00.000","February","Misc. Garbage","226"
"2019-02-28T00:00:00.000","February","Curb Garbage","5578"
"2019-02-28T00:00:00.000","February","E-Waste","20"
"2019-02-28T00:00:00.000","February","Haz Waste","0"
"2019-02-28T00:00:00.000","February","Yard Waste","169"
"2019-02-28T00:00:00.000","February","Recycled Tires","9"
